method,slab_budget,payload_fraction,nominal_gib_per_token,mean_cosine,p05_cosine,post_norm_mean_cosine,post_projection_mean_cosine,diagnostic_uses_heldout_answers
whole_expert_expected_mean_tail,48,0.25,2.211,0.9464602805956059,0.8731427185783669,0.9465879797935486,0.9359864592552185,False
whole_expert_expected_mean_tail,96,0.5,4.422,0.9758283049542534,0.9368453198677583,0.9758895039558411,0.9715784788131714,False
whole_expert_expected_mean_tail,144,0.75,6.632999999999999,0.9907471394188326,0.9736574504436004,0.9907740354537964,0.989284873008728,False
whole_expert_expected_mean_tail,192,1.0,8.844,1.0000000007699361,0.9999998876400115,1.0,1.0,False
uniform_static_slab_mean_tail,48,0.25,2.211,0.8013976917436234,0.5743507311912974,0.8017795085906982,0.7778274416923523,False
uniform_static_slab_mean_tail,64,0.3333333333333333,2.948,0.8362425888056951,0.6516620031583032,0.8365596532821655,0.8194920420646667,False
uniform_static_slab_mean_tail,80,0.4166666666666667,3.685,0.8671036502849407,0.7128360829461088,0.8673521876335144,0.8552959561347961,False
uniform_static_slab_mean_tail,96,0.5,4.422,0.8920396481109545,0.7606735174710738,0.8922224044799805,0.8836974501609802,False
uniform_static_slab_mean_tail,112,0.5833333333333334,5.159,0.9152170139274097,0.8152739106498932,0.9153521060943604,0.9096974730491638,False
uniform_static_slab_mean_tail,128,0.6666666666666666,5.896,0.9358917687574894,0.8537758388143364,0.9359903931617737,0.9323628544807434,False
uniform_static_slab_mean_tail,144,0.75,6.632999999999999,0.953940836512854,0.9000630841634281,0.9540109634399414,0.9519325494766235,False
uniform_static_slab_mean_tail,160,0.8333333333333334,7.37,0.9712658909772833,0.9395539874508274,0.9713153839111328,0.9702473878860474,False
uniform_static_slab_mean_tail,176,0.9166666666666666,8.107,0.9866503546427947,0.9713534649878229,0.9866716265678406,0.9862955808639526,False
uniform_static_slab_mean_tail,192,1.0,8.844,0.9999112235962012,0.9997703438139511,0.9999113082885742,0.999921441078186,False
adaptive_expected_residual_slab_mean_tail,48,0.25,2.211,0.9489471421274404,0.8786775425324559,0.9490776658058167,0.9394227862358093,False
adaptive_expected_residual_slab_mean_tail,64,0.3333333333333333,2.948,0.9613069730238486,0.9038456535385453,0.9614099264144897,0.9544529914855957,False
adaptive_expected_residual_slab_mean_tail,80,0.4166666666666667,3.685,0.9699650362236749,0.9230238877837683,0.9700397849082947,0.9648259878158569,False
adaptive_expected_residual_slab_mean_tail,96,0.5,4.422,0.976688038223327,0.9391171870395222,0.9767485857009888,0.9728409647941589,False
adaptive_expected_residual_slab_mean_tail,112,0.5833333333333334,5.159,0.9823064448772597,0.9522215337214011,0.9823533892631531,0.9794737696647644,False
adaptive_expected_residual_slab_mean_tail,128,0.6666666666666666,5.896,0.9869553769134816,0.9637862664622504,0.9869911074638367,0.9849534630775452,False
adaptive_expected_residual_slab_mean_tail,144,0.75,6.632999999999999,0.9910223513995012,0.9744353790453785,0.9910462498664856,0.9897004961967468,False
adaptive_expected_residual_slab_mean_tail,160,0.8333333333333334,7.37,0.9944721015781632,0.9844381873614657,0.9944865107536316,0.9936848282814026,False
adaptive_expected_residual_slab_mean_tail,176,0.9166666666666666,8.107,0.9974059459987237,0.9925778264813832,0.997411847114563,0.9970554113388062,False
adaptive_expected_residual_slab_mean_tail,192,1.0,8.844,0.9999112235962012,0.9997703438139511,0.9999113082885742,0.999921441078186,False
heldout_residual_norm_slab_mean_tail,48,0.25,2.211,0.9582502746039141,0.8987930685482679,0.9583482146263123,0.9516782164573669,True
heldout_residual_norm_slab_mean_tail,64,0.3333333333333333,2.948,0.9681994934353778,0.9192752427658518,0.968272864818573,0.9634508490562439,True
heldout_residual_norm_slab_mean_tail,80,0.4166666666666667,3.685,0.9753913268085317,0.9359484307255818,0.975452721118927,0.9718462228775024,True
heldout_residual_norm_slab_mean_tail,96,0.5,4.422,0.9810695134516612,0.9498151530305736,0.981113612651825,0.9784574508666992,True
heldout_residual_norm_slab_mean_tail,112,0.5833333333333334,5.159,0.9857240166164415,0.9613560978944955,0.9857590198516846,0.9838361740112305,True
heldout_residual_norm_slab_mean_tail,128,0.6666666666666666,5.896,0.9896319649230728,0.9714687361238314,0.989660382270813,0.9883109331130981,True
heldout_residual_norm_slab_mean_tail,144,0.75,6.632999999999999,0.9929509402158108,0.9803875572927692,0.9929699897766113,0.9920891523361206,True
heldout_residual_norm_slab_mean_tail,160,0.8333333333333334,7.37,0.995765994951903,0.9881176315653442,0.995776891708374,0.9952698945999146,True
heldout_residual_norm_slab_mean_tail,176,0.9166666666666666,8.107,0.9981182509759257,0.9947749136660174,0.9981223940849304,0.9979180097579956,True
heldout_residual_norm_slab_mean_tail,192,1.0,8.844,0.9999112235962012,0.9997703438139511,0.9999113082885742,0.999921441078186,True
