method,fullwidth_refinements,payload_fraction,nominal_gib_per_token,mean_cosine,p05_cosine,post_norm_mean_cosine,post_projection_mean_cosine,diagnostic_uses_heldout_answers
calibration_delta_refinement,0,0.5,4.422,0.9090171669489904,0.8227074925758666,0.9091821312904358,0.9168745875358582,False
calibration_delta_refinement,4,0.625,5.5275,0.9774176045298262,0.9415829455081547,0.9774636626243591,0.9774631857872009,False
calibration_delta_refinement,8,0.75,6.632999999999999,0.9885472377050082,0.9674974156714801,0.9885711073875427,0.9884493947029114,False
calibration_delta_refinement,12,0.875,7.738499999999999,0.9953444113138782,0.9859882342243395,0.9953551292419434,0.9952878355979919,False
calibration_delta_refinement,16,1.0,8.844,0.9999999999139143,0.9999998838259669,1.0,1.0,False
calibration_full_contribution_refinement,0,0.5,4.422,0.9090171669489904,0.8227074925758666,0.9091821312904358,0.9168745875358582,False
calibration_full_contribution_refinement,4,0.625,5.5275,0.9770248348896217,0.9394562098963082,0.9770792126655579,0.9770562052726746,False
calibration_full_contribution_refinement,8,0.75,6.632999999999999,0.9882166009160523,0.9664474168711215,0.9882388710975647,0.9880780577659607,False
calibration_full_contribution_refinement,12,0.875,7.738499999999999,0.9951495879566846,0.9855420881129001,0.9951609969139099,0.9950763583183289,False
calibration_full_contribution_refinement,16,1.0,8.844,0.9999999999139143,0.9999998838259669,1.0,1.0,False
heldout_delta_norm_refinement,0,0.5,4.422,0.9090171669489904,0.8227074925758666,0.9091821312904358,0.9168745875358582,True
heldout_delta_norm_refinement,4,0.625,5.5275,0.9778925331449616,0.9425051633029086,0.977940559387207,0.9779360890388489,True
heldout_delta_norm_refinement,8,0.75,6.632999999999999,0.9889448293376891,0.9685602190784177,0.9889669418334961,0.988845944404602,True
heldout_delta_norm_refinement,12,0.875,7.738499999999999,0.9955849017776299,0.9868799247339562,0.995593786239624,0.9955242276191711,True
heldout_delta_norm_refinement,16,1.0,8.844,0.9999999999139143,0.9999998838259669,1.0,1.0,True
